Zero Crossing,Spectral Centroids,Spectral Rolloff,Chromagram,MFCC 0,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,Genre
0.09824505974264706,1505.2990118015812,2212.478288113148,0.25239107,-268.15594,135.68958,-34.07063,25.630829,-12.969512,17.891945,-9.996482,5.6280513,-14.142415,7.498352,-3.9616,8.261254,-1.3529329,-0.38225845,1.0317638,3.8071876,-0.30379644,1.778557,0.8903277,-0.837884,Classical
0.0877715781008127,1360.4083538769598,1753.3310645135932,0.2150638,-324.05878,133.61005,-25.0311,24.567554,-11.933687,17.662527,-5.5306935,1.716686,-10.56964,-0.8459779,-7.798113,3.5223994,5.041736,1.361833,3.0033455,-3.124862,-4.2915335,0.59121805,2.8719728,0.36627102,Classical
0.09004972003192724,1490.0348101512677,2363.485708325271,0.27786523,-235.2558,141.12819,-34.666855,30.979235,-16.377935,23.111984,-11.031445,7.6394672,-19.008242,4.23565,-11.820917,8.909784,-1.4338719,4.281025,1.4821401,3.1879752,-1.3095183,2.929819,-1.6610034,-2.896665,Classical
0.10895172213622291,1526.6470666771077,2147.4620145909926,0.23423605,-326.86484,127.391304,-30.596096,37.4688,-5.296103,20.810871,-1.7786442,-4.604763,-4.054473,5.228942,-0.6458986,2.8076391,7.2521753,3.9806387,-2.3890357,1.4909693,0.5834443,-0.61058664,2.3344681,2.6497424,Classical
0.1128666644494969,1705.7046109371415,2713.0669277887964,0.22317082,-259.90997,118.93929,-35.61185,31.977633,-16.529282,10.622128,-15.651278,7.435395,-5.8122916,8.267931,-18.012741,-1.1968322,-6.347266,2.7614515,-2.5925744,4.384808,-4.136895,-4.7794733,-4.7723603,-4.608321,Classical
0.07523877406636997,1431.4275607948398,2285.1028489623645,0.26858157,-264.24734,138.14891,-30.094566,37.81559,-7.1737742,6.776308,-11.798505,4.7128506,-9.830426,5.8492336,-9.574092,2.6678667,-4.791536,-1.4049917,-2.0943422,2.9842095,3.3614771,4.8146105,1.7617613,-1.8267665,Classical
0.07292321739551083,1372.825806692258,2113.6622189737327,0.26148933,-295.70288,134.5351,-22.447182,40.741524,-5.877058,9.267067,-11.864938,6.293622,-8.860721,4.40086,-9.3738165,4.06237,1.6280915,5.1385694,5.4428167,2.285079,-1.8166678,-2.9232297,0.13503473,3.1974373,Classical
0.07314694998065016,1358.918358314813,2090.83735699255,0.27652922,-286.83844,135.91945,-24.437115,36.64864,-6.234456,6.9540744,-8.162778,3.839327,-4.390524,6.42992,-4.123742,1.5436682,-4.346957,-3.0189776,-0.0053141685,5.6524143,3.4370098,2.8309767,1.0971742,-0.2943037,Classical
0.07878788336880804,1516.6262193385692,2327.0442620150443,0.2547736,-292.1283,127.76905,-29.901041,37.430187,-9.547024,5.1137033,-13.811696,7.026101,-7.030175,6.489698,-9.906081,4.709107,0.37720552,1.4643333,3.3936737,6.076538,0.9634289,-0.75365996,-2.1053126,0.7551331,Classical
0.05627025686919505,1216.2937624027388,1459.7328398618904,0.27047828,-356.1422,139.8058,-6.278478,43.17629,-8.859082,11.042577,-8.373959,4.415756,-8.290999,8.676971,-8.13816,3.4242938,-1.4383351,-0.41947243,-1.7267194,-0.28363022,-0.65353763,1.1605493,-0.624841,-0.25753075,Classical
